2024-08-04 10:53:07.041 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.james.StarterServiceTest], using SpringBootContextLoader
2024-08-04 10:53:07.045 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.james.StarterServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2024-08-04 10:53:07.045 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.james.StarterServiceTest]: StarterServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-04 10:53:20.482 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.james.StarterServiceTest], using DelegatingSmartContextLoader
2024-08-04 10:53:20.486 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.james.StarterServiceTest]: no resource found for suffixes {-context.xml}.
2024-08-04 10:53:20.487 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.james.StarterServiceTest]: StarterServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-08-04 10:53:20.504 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2024-08-04 10:53:20.509 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4562e04d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2a65fe7c, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4135c3b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6302bbb1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@31304f14, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@34a3d150, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@2a4fb17b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5c6648b0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6f1de4c7]
2024-08-04 10:53:20.694 [main] INFO  com.james.StarterService - 这是来自starter的日志
2024-08-04 15:11:37.653 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.james.StarterServiceTest], using DelegatingSmartContextLoader
2024-08-04 15:11:37.656 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.james.StarterServiceTest]: no resource found for suffixes {-context.xml}.
